"Lépés","Teendő","Coding agentnek kiadható feladat","Javasolt kód / parancs","Ellenőrzés és figyelmeztetés"
"1.","Csomagkezelő ellenőrzése","„Nézd meg, hogy a repository pnpm-lock.yaml, package-lock.json vagy yarn.lock alapján melyik package managert használja. Kizárólag azt használd.”","pnpm --version vagy npm --version","Ne keverj lockfile-okat. Ha a projekt pnpm-es, ne hozz létre package-lock.json-t."
"2.","Motion telepítése","„Telepítsd a jelenlegi Motion React csomagot production dependencyként. Ne a régi framer-motion csomagot használd új implementációhoz.”","pnpm add motion","A modern importok motion/react útvonalról jönnek. A Motion React minden HTML- és SVG-elemhez biztosít motion komponenst. motion+1"
"3.","Dependency validálása","„A telepítés után ellenőrizd a package.json-t és a dependency tree-t. Ne módosíts más függőséget, hacsak nem szükséges.”","pnpm why motion","Előfordulhat, hogy a projektben már van közvetlen vagy tranzitív régi framer-motion; ezt dokumentáld, ne távolítsd el vakon."
"4.","Client provider helyének felmérése","„Keresd meg az App Router globális kliensoldali providerét, például src/app/providers.tsx, src/app/Providers.tsx vagy hasonló fájlt. Ha nincs, hozz létre egyet.”","Várható struktúra: app/layout.tsx → <Providers>{children}</Providers>","A MotionConfig contextet ad, ezért kliens komponensben kell renderelni. A szerveres app/layout.tsx maradhat Server Component; csak a provider fájl kapjon 'use client' direktívát."
"5.","MotionConfig globális hozzáadása","„A meglévő Providers komponens gyermekei köré tegyél MotionConfig wrappert reducedMotion=""user"" beállítással. A többi provider, például Mantine, Apollo és next-intl viselkedése maradjon változatlan.”","tsx\n'use client';\n\nimport { MotionConfig } from 'motion/react';\n\nexport function Providers({ children }: React.PropsWithChildren) {\n return (\n <MotionConfig reducedMotion=\""user\"">\n {children}\n </MotionConfig>\n );\n}\n","A MotionConfig a leszármazott motion komponensek globális konfigurációjára való. reducedMotion=""user"" tiszteletben tartja az OS beállítását. motion+1"
"6.","Meglévő providerek megtartása","„A jelenlegi provider nestinget minimálisan módosítsd: a MotionConfig fogja körbe a teljes kliens UI-fát, vagy kerüljön a meglévő MantineProvider és ApolloProvider fölé. Ne alakíts át unrelated provider kódot.”","tsx\n<MotionConfig reducedMotion=\""user\"">\n <MantineProvider theme={theme}>\n <ApolloProvider client={client}>{children}</ApolloProvider>\n </MantineProvider>\n</MotionConfig>\n","Nincs erős technikai követelmény a Mantine/Apollo/Motion sorrendjére; a lényeg, hogy minden animált komponens a MotionConfig alatt legyen."
"7.","Globális motion tokenek kialakítása","„Hozz létre egy src/lib/motion/config.ts vagy src/lib/motion/transitions.ts fájlt közös időzítésekkel és easingekkel. A komponensek ne ismételjenek mágikus duration számokat.”","ts\nexport const motionTransition = {\n fast: { duration: 0.15, ease: 'easeOut' },\n normal: { duration: 0.2, ease: 'easeOut' },\n gentle: { type: 'spring', stiffness: 380, damping: 30 },\n} as const;\n","A tényleges Motion transition lehet tween vagy spring; a transition beállításai duration/delay/ease paramétereket is támogatnak. Tartsd a felületi mozgást következetesen röviden. motion"
"8.","Animációs szabályok dokumentálása","„Készíts src/lib/motion/README.md vagy docs/motion.md fájlt: mikor használunk CSS-t, mikor Motiont, standard időtartamok, tiltott minták, accessibility szabályok.”","Példa szabályok: „CSS hover transition előnyben”; „Motion layout listákhoz”; „route-wide transition tilos”; „max. 250 ms UI motion”.","Ez különösen hasznos lesz coding agent használatánál: a későbbi agentek nem fognak minden hoverre Motiont vagy egymással inkompatibilis springeket tenni."
"9.","Reduced-motion célzott használata","„Ahol egyedi, erősebb animáció készül, importáld a useReducedMotion hookot, és reduced-motion esetén csak opacity transitiont adj, vagy kapcsold ki a mozgást.”","tsx\nimport { motion, useReducedMotion } from 'motion/react';\n\nconst shouldReduceMotion = useReducedMotion();\n\n<motion.div\n animate={shouldReduceMotion ? { opacity: 1 } : { opacity: 1, y: 0 }}\n initial={shouldReduceMotion ? { opacity: 0 } : { opacity: 0, y: 10 }}\n/>\n","A globális reducedMotion=""user"" automatikusan letiltja a transform- és layout-mozgást, miközben opacity/background-color átmenetek maradhatnak. A hook csak kivételes, célzott viselkedéshez kell. motion+1"
"10.","Első smoke-test komponens","„Ne a teljes RecipeGrid refaktorával kezdj. Készíts vagy vezess be egyetlen izolált motion.div fade tesztet egy nem kritikus elemnél, majd ellenőrizd buildben és reduced-motion alatt.”","tsx\nimport { motion } from 'motion/react';\n\n<motion.div\n initial={{ opacity: 0 }}\n animate={{ opacity: 1 }}\n transition={{ duration: 0.2 }}\n>\n {children}\n</motion.div>\n","Ezzel ellenőrizhető a telepítés, import, hydration és provider integráció, mielőtt a keresőlista működését érintő változásokat vezetnél be."
