"Prioritás","Hely / érintett komponens","Motion lehetőség","Coding agentnek kiadható feladat","Mire kell figyelni"
"P0","RecipeGrid – keresési találatok","Szűréskor érkező, távozó és helyet váltó cardok animációja: layout + AnimatePresence","„Telepítsd a motion csomagot. A RecipeGrid recipe itemjeit motion.div wrapperbe tedd. Használj stabil recipe.id key-t, layout, valamint enter/exit opacity + enyhe scale animációt. Az első render ne animáljon (initial={false}), szűréskor viszont igen.”","A Motion a közvetlenül kikerülő React-gyerekek exit animációját kezeli; az AnimatePresence közvetlen gyermekei ezért maguk a motion.div-ek legyenek. A stabil recipe.id már adott. motion+1"
"P0","RecipeGrid – filterezési UX","Távozó cardok és megmaradó cardok átrendezésének ütemezése mode=""popLayout""-tal","„Az AnimatePresence-hez próbáld ki a mode=""popLayout"" módot. A távozó cardot opacity: 0, scale: 0.98 értékkel vezesd ki, a megmaradó elemek layout segítségével rendezetten mozogjanak az új helyükre.”","Teszteld mobilon és sok találatnál; a 150–220 ms körüli transition legyen az alap. Ne használj hosszú stagger-t minden új keresésnél. A layout animáció célja a pozíció- és méretváltozás simítása. motion+1"
"P0","App provider / globális hozzáférhetőség","Csökkentett mozgás támogatása","„A root client providerbe kerüljön MotionConfig reducedMotion=""user"". A látványosabb komponensekben használj useReducedMotion-t, és csökkentett mozgásnál az x, y, scale animációt váltsd opacity-re vagy kapcsold ki.”","Ez nem extra, hanem accessibility-követelmény. A hook a rendszer prefers-reduced-motion beállítására reagál, és változáskor újrarenderel. motion"
"P1","FavoriteButton a RecipeCard-ban","Kedvencbe mentéskor rövid „pop” / heart burst","„A favorite state sikeres szervermutáció utáni változásakor animáld a gomb belső ikonját: scale: [0.85, 1.18, 1], maximum 220–250 ms. Unfavorite esetén legyen sokkal visszafogottabb, például rövid opacity/scale transition.”","Kizárólag sikeres API-válasz után jelezzen sikert. A gomb a teljes, Link-ként renderelt Card belsejében van: biztosíts preventDefault() + stopPropagation() kezelést, különben kedvencre kattintás navigálhat is."
"P1","RecipeCard","Hover/tap feedback","„A card hover állapotához adj whileHover={{ y: -3 }} és whileTap={{ scale: 0.99 }} effektet, vagy valósítsd meg CSS-sel. A card képének hover zoomja maradjon külön, CSS transitionnel.”","Ezt inkább CSS-sel csinálnám: itt nincs állapotok közti összetett átmenet. Ne legyen 3D tilt, nagy zoom vagy rugózó kártya; a card egy navigációs elem, nem játékgomb."
"P1","RecipeDetailClient / RecipeIngredients","Hozzávaló kipipálása","„A checkbox state-váltásakor animáld az ingredient row-t: checked állapotban kisebb opacity, text-decoration line-through és opcionálisan check ikon fade/scale be. A sor maradjon a helyén; ne tüntesd el automatikusan.”","A pipált hozzávaló főzés közben továbbra is fontos referencia. A puszta színre ne támaszkodj; legyen szemmel látható áthúzás és checkbox-state. A nagy layout-mozgás itt zavaró lenne."
"P1","RecipeDetailClient / RecipeIngredients","Adagszám változtatása","„Az incrementServings és decrementServings után a adjustedServings és ingredient mennyiségek változását animáld finom opacity crossfade-del vagy rövid scale-in-nel.”","Ne animálj minden számot karakterenként: mennyiségek sok sora egyszerre változhat, és a túl sok mozgás olvashatatlan. A crossfade legyen kb. 120–160 ms, reduced-motionnél akár az is maradhat el."
"P1","RecipeSteps","Cook mode / aktív lépés","„Vezess be opcionális cook mode-ot. A felhasználó által kiválasztott aktuális step kapjon layout-tal mozgó, közös active háttérkiemelést (layoutId=""active-step""), a completed step pedig visszafogott opacity/strikethrough állapotot.”","Akkor jó, ha a lépések interaktívak és van „következő/előző” navigáció. Ne auto-scrollozz agresszíven, és a fókuszt mindig a felhasználó kezében hagyd. A layoutId shared layout élményt adhat két állapot között. motion"
"P1","RecipeSteps szerkesztő nézet, ha létezik / később épül","Drag-to-reorder instrukciók","„A recipe edit felület instruction stepjeit alakítsd Reorder.Group + Reorder.Item listává. Csak dedikált drag handle-ről lehessen húzni; onReorder frissítse a lokális sorrendet, mentéskor perzisztáld a sort indexeket.”","A Motion reorder komponensei automatikus layout animációt adnak. Drag handle kötelező, különben a scroll, text selection és a mobilos touch használat szenvedni fog. Perzisztencia, optimistic state és hiba-visszaállítás legyen meg. motion"
"P1","Recept szerkesztő – ingredients, ha létezik / később épül","Drag-to-reorder hozzávalók","„Tedd átrendezhetővé a hozzávaló sorokat dedikált fogantyúval. Húzás alatt a sor kapjon magasabb z-index-et és enyhe shadow-t; engedéskor mentsd az új order mezőt.”","A dokumentáció szerint a húzott Reorder.Item z-indexe csak nem static pozicionálás mellett érvényesül; a draggable item legyen position: relative. Hosszú/virtuális listához már inkább dnd-kit való. motion"
"P1","RecipeSearch","Advanced filter panel expand/collapse","„Ha vannak elrejthető advanced filterek, a nyitást/zárást AnimatePresence-szel animáld: opacity + height: 0 → height: auto; a panel belseje kapjon overflow hidden wrappert.”","Ha csak egy sima lenyíló blokk kell, Mantine Collapse is elég és nem indokol Motion-dependenciát. A Mantine Collapse eleve slide down/up megoldás. mantine"
"P1","RecipeSearch","Aktív filter chipek","„Keresés után jeleníts meg eltávolítható aktív filter chipeket. Egy chip törlésekor AnimatePresence exit, a többi chip pedig layout-tal rendeződjön át.”","Az eltávolító ikon legyen billentyűzettel fókuszolható és kapjon érthető aria-label-t. Ha a chip a query URL-t módosítja, ne legyen kettős local state és URL state; az URL maradjon a single source of truth, ahogy most is."
"P2","RecipesPage","Search section megjelenése","A meglévő Mantine <Transition> maradjon, vagy egységesítésként válts Motion AnimatePresence fade-re","A jelenlegi Mantine Transition pont arra készült, hogy komponens megjelenését/eltűnését kész animációval kezelje. Csak akkor cseréld le, ha a section a grid animációjával szinkronban, összetett sequence-ben mozogna. mantine"
"P2","RecipeCarousel / recently added","Carousel slide tartalom finom belépése","„A carousel aktív slide-váltására csak a slide belső tartalmának opacity/translate animációját add; magát a vízszintes görgetést hagyd a Carousel/Embla mechanizmusára.”","Ne építs két egymással versengő animációs rendszert ugyanarra a slide transformra. A Mantine Carousel Embla-alapú, és az Embla API-t a getEmblaApi propból el lehet érni bővítő viselkedéshez. npmjs+1"
"P2","RecipeCard → RecipeHero","Shared image/card-to-detail átmenet layoutId-val","„Prototipizálj egy shared image transitiont: card image és RecipeHero hero image közös layoutId={\recipe-image-${recipe.id}`}` értéket kapjon. Csak a kép és opcionálisan a cím animálódjon.” | Ez látványos, de App Router navigációban könnyen törékeny, mert a két oldal nem mindig marad egyszerre a React-fában. Csak akkor élesítsd, ha kliensoldali navigáción és vissza navigáláson stabil; legyen hagyományos fallback. A Motion layout animáció erre használható. |",""
"P2","RecipeDetailClient","Hero és tartalom first-load reveal","„A sikeres detail betöltés után a hero és a két grid oszlop jelenjen meg egyszeri, enyhe opacity + y: 8 animációval; az oszlopok ne külön-külön, hosszú staggerrel essenek be.”","A Loader már egyértelmű betöltési állapot. Az extra reveal maradjon 150–200 ms; ne lassítsa a recept olvasását, és route-váltáskor se villogjon."
"P2","RecipeDetailClient / rating panel","Értékelés utáni megerősítés","„Sikeres rating mutation után a kiválasztott csillag vagy a rating summary kapjon rövid scale/fade visszajelzést, és jelenjen meg rövid siker toast.”","Optimistic rating frissítésnél API hiba esetén vissza kell állítani az előző értéket és hibaüzenetet kell mutatni. A színes csillag nem lehet az egyetlen success jelzés."
"P2","RecipeVideo","Lazy mount / megjelenés viewport közelében","„Intersection Observerrel csak viewport-közelben mountold a videó embedet. A placeholderből a tényleges videóra opacity crossfade legyen.”","Ez inkább performance feature, az animáció csak kísérőelem. Ne autoplay-ezz, és reduced-motion beállításnál se legyen automatikus mozgó preview. A Motion reduced-motion hook erre is használható. motion"
"P2","Empty state (RecipeGrid, RecipesPage)","Kontextusváltó empty-state enter/exit","„Keresési eredménylista és empty state között használj AnimatePresence crossfade-et; az ikon maradjon statikus vagy legfeljebb egyszeri, finom scale-in.”","Ne legyen folyamatosan pulzáló vagy bólogató IconMoodSad / IconMoodSmile; a negatív eredmény nem igényel figyelemelvonó animációt. A layout shiftet minimalizáld megfelelő min-height-tal."
"P3","RecipeHero owner actionök: edit, delete, share","Menu/popover enter/exit és action feedback","„Az owner action menüt opacity + scale transitionnel nyisd, sikeres edit/delete/share művelet után toastot jeleníts meg animált enter/exittel.”","A Mantine Menu/Popover/Modal jellemzően saját transition API-t ad. Itt csak akkor vezess be Motiont, ha több komponensen átívelő, egységes toast/overlay rendszered lesz."
"P3","„Add to shopping list” funkció, ha épül","Ingredient fly-to-list / badge counter","„Sikeres ‘add ingredients to shopping list’ műveletkor animáld a shopping-list badge számlálóját rövid scale-pop-pal, és adj egy ‘Undo’ toastot.”","A képernyőn keresztül repülő ingredient-animációt ne csinálj: lassú és zavaró. A badge-visszajelzésnek sikeres mutációhoz kell kötődnie; az undo művelet legyen időben korlátozott."
"P3","Keresőmező","Search icon / clear gomb állapota","„Ha van clear gomb, jelenjen meg és tűnjön el opacity/scale enter-exittel. A keresés indításakor a search icon helyett lehet rövid spinner.”","A loading spinner már lehet a RecipeSearch része; kerüld, hogy az ikon minden leütésre animáljon. Debounce-olt URL update nélkül az animáció sem oldja meg a felesleges queryket."
"Nem javasolt","Teljes RecipesPage route transition","Teljes oldal slide/fade minden navigációkor","„Ne implementáld az első körben.”","A recipe browsingnál ez többnyire csak lassabbnak érződik, App Router mellett pedig route lifecycle és scroll restoration problémákat okozhat. A lokális, állapothoz kapcsolódó átmenetek sokkal értékesebbek."
"Nem javasolt","Teljes sticky RecipeIngredients panel","Scrollhoz kötött parallax, lebegés vagy folyamatos mozgás","„Ne animáld a sticky panelt scroll közben.”","A főzési információknak stabilan kell maradniuk. A scroll-driven mozgás mobilon teljesítmény- és motion-sickness kockázat, reduced-motion esetén pedig mindenképp tiltani kellene. motion"
"Nem javasolt","Skeleton grid","Minden skeleton külön belépő/stagger animációja","„A skeleton maradjon Mantine Skeleton, legfeljebb a teljes grid egyszeri fade-injével.”","A skeleton eleve mozgásérzetet és betöltést kommunikál; a további animálás vizuális zaj és sok kártyán felesleges render-terhelés."
